This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network
"419417","WACO DAM",-97.2169,31.6003,151,"COOP"
"419480","WARREN 2 S",-94.4000,30.5833,34,"COOP"
"419499","WATER VALLEY",-100.7283,31.6725,646,"COOP"
"419532","WEATHERFORD",-97.7700,32.7483,291,"COOP"
"419559","WELDER W'LIF",-97.4178,28.1136,15,"COOP"
"419711","WHITE RIVER",-101.0925,33.4561,735,"COOP"
"419754","WILDWOOD",-94.4478,30.5272,32,"COOP"
"419800","WILLS POINT",-96.0167,32.7000,159,"COOP"
"419847","WINTERS 1 NN",-99.9586,31.9678,568,"COOP"
"419916","WRIGHT PATMA",-94.1728,33.3042,76,"COOP"
"419952","YOAKUM",-97.1239,29.2744,99,"COOP"
"420074","ALTAMONT",-110.2878,40.3561,1942,"COOP"
"420336","ARCHES NP HQ",-109.6192,38.6164,1259,"COOP"
"420487","BEAR LAKE ST",-111.4014,41.9656,1829,"COOP"
"420688","BIG WATER",-111.6639,37.0769,1250,"COOP"
"420820","BOUNTIFUL-VA",-111.8903,40.8547,1384,"COOP"
"421008","BRYCE CANYON",-112.1689,37.6411,2412,"COOP"
"421020","BULLFROG BAS",-110.7203,37.5300,1165,"COOP"
"421144","CALLAO",-113.7117,39.8994,1320,"COOP"
"421163","CANYONLANDS",-109.8214,38.4600,1807,"COOP"
"421168","CANYONLANDS",-109.7822,38.1506,1523,"COOP"
"421171","CAPITOL REEF",-111.2622,38.2917,1676,"COOP"
"421243","CASTLE VALLE",-109.3889,38.6469,1459,"COOP"
"421259","CEDAR CITY",-113.0939,37.7083,1829,"COOP"
"421260","CEDAR CITY 5",-112.9919,37.6564,1966,"COOP"
"421308","CEDAR POINT",-109.0828,37.7158,2060,"COOP"
"421590","COALVILLE 13",-111.1492,40.9383,1984,"COOP"
"421918","CUTLER DAM U",-112.0558,41.8328,1308,"COOP"
"422057","DEER CREEK D",-111.5286,40.4047,1606,"COOP"
"422558","ENTERPRISE",-113.7089,37.5728,1622,"COOP"
"422726","FARMINGTON 3",-111.9347,41.0228,1335,"COOP"
"422798","FERRON",-111.1322,39.0872,1807,"COOP"
"422852","FISH SPRINGS",-113.3981,39.8397,1321,"COOP"
"422996","FORT DUCHESN",-109.8611,40.2842,1539,"COOP"
"423254","GOBLIN VALLE",-110.7078,38.5778,1521,"COOP"
"423348","GRANTSVILLE",-112.5056,40.6025,1366,"COOP"
"423600","HANS FLAT RS",-110.1800,38.2553,2012,"COOP"
"423836","HELPER CARBO",-110.8661,39.7272,1859,"COOP"
"423980","HITE RANGER",-110.3878,37.8750,1219,"COOP"
"424100","HOVENWEEP NA",-109.0750,37.3858,1588,"COOP"
"424174","IBAPAH",-113.9883,40.0378,1609,"COOP"
"424321","JARVIE RANCH",-109.1789,40.8992,1680,"COOP"
"424342","JENSEN",-109.3450,40.3642,1448,"COOP"
"424968","LA VERKIN",-113.2689,37.2031,981,"COOP"
"425138","LITTLE SAHAR",-112.3089,39.7303,1597,"COOP"
"425148","LOA",-111.6433,38.4058,2155,"COOP"
"425182","LOGAN RADIO",-111.8561,41.7353,1381,"COOP"
"425186","LOGAN UTAH S",-111.8033,41.7456,1460,"COOP"
"425194","LOGAN 5 SW E",-111.8906,41.6672,1389,"COOP"
"425377","MANILA",-109.7258,40.9900,1966,"COOP"
"425582","MEXICAN HAT",-109.8683,37.1447,1259,"COOP"
"425815","MOON LAKE",-110.4922,40.5617,2484,"COOP"
"425969","MYTON",-110.0617,40.1942,1548,"COOP"
"426053","NATURAL BRID",-109.9772,37.6094,1981,"COOP"
"426181","NEW HARMONY",-113.3131,37.4844,1605,"COOP"
"426357","OAK CITY",-112.3339,39.3342,1549,"COOP"
"426601","PANGUITCH",-112.4314,37.8233,2015,"COOP"
"426640","PARIA RANGER",-111.9000,37.1047,1341,"COOP"
"426869","PINE VIEW DA",-111.8378,41.2578,1506,"COOP"
"427165","RANDOLPH",-111.1861,41.6628,1911,"COOP"
"427408","ROSETTE",-113.4133,41.8189,1733,"COOP"
"427606","SALT LAKE TR",-111.8964,40.7708,1305,"COOP"
"427729","SCOFIELD-SKY",-111.2047,39.6847,2655,"COOP"
"429111","VERNAL 2SW",-109.5531,40.4269,1667,"COOP"
"429133","VERNON",-112.4550,40.0831,1672,"COOP"
"429346","WEBER BASIN",-111.9125,41.1092,1494,"COOP"
"430277","BALL MOUNTAI",-72.8000,43.1167,344,"COOP"
"430661","BETHEL 4 N",-72.6353,43.8828,201,"COOP"
"431363","CHELSEA 2 NW",-72.4833,44.0108,439,"COOP"
"431565","CORINTH",-72.2356,44.0411,337,"COOP"
"431580","CORNWALL",-73.2311,43.9706,122,"COOP"
"432314","EAST HAVEN",-71.8911,44.6425,305,"COOP"
"432773","ENOSBURG FAL",-72.7997,44.9319,130,"COOP"
"432843","ESSEX JUNCTI",-73.1153,44.5078,104,"COOP"
"433400","GRAFTON 1 NW",-72.6253,43.1906,358,"COOP"
"434120","ISLAND POND",-71.8903,44.8128,366,"COOP"
"435273","MONTPELIER 2",-72.6006,44.2553,162,"COOP"
"435542","NEWPORT",-72.1911,44.9489,241,"COOP"
"435768","NORTH HARTLA",-72.3622,43.6028,174,"COOP"
"435982","NORTH SPRING",-72.5069,43.3406,171,"COOP"
"436335","PERU",-72.9000,43.2667,518,"COOP"
"436391","PLAINFIELD",-72.4158,44.2761,244,"COOP"
"436893","ROCHESTER",-72.8075,43.8628,253,"COOP"
"436995","RUTLAND",-72.9667,43.6167,189,"COOP"
"437098","SALISBURY 2",-73.1000,43.9311,128,"COOP"
"437612","SOUTH LINCOL",-72.9681,44.0736,418,"COOP"
"438160","SUNDERLAND 2",-73.1244,43.0908,274,"COOP"
"438169","SUTTON",-72.0500,44.6167,457,"COOP"
"438172","SUTTON 2 NE",-72.0219,44.6647,305,"COOP"
"438556","UNION VILLAG",-72.2636,43.7972,140,"COOP"
"438652","WALDEN 4N",-72.2203,44.5025,686,"COOP"
"439984","WOODSTOCK",-72.4544,43.6217,183,"COOP"
"439988","WORCESTER 2",-72.5822,44.3758,415,"COOP"
"440187","AMELIA 4 SW",-78.0669,37.3167,110,"COOP"
"440243","APPOMATTOX",-78.8314,37.3558,243,"COOP"
"440385","BACK BAY WIL",-75.9122,36.6631,3,"COOP"
"440735","BIG STONE GA",-82.7711,36.8628,446,"COOP"
"440766","BLACKSBURG N",-80.4133,37.2017,640,"COOP"
"440860","BOSTON 4 SE",-78.0969,38.5453,180,"COOP"
"440993","BREMO BLUFF",-78.2886,37.7092,69,"COOP"
"441082","BROOKNEAL",-78.9517,37.0675,130,"COOP"
"441209","BURKES GARDE",-81.3358,37.0925,1006,"COOP"
"441322","CAMP PICKETT",-77.9486,37.0372,101,"COOP"
"441585","CHARLOTTE CO",-78.3819,37.0322,180,"COOP"
"441593","CHARLOTTESVI",-78.5231,38.0325,157,"COOP"
"441614","CHATHAM",-79.4106,36.8225,195,"COOP"
"441692","CHRISTIANSBU",-80.4033,37.1278,640,"COOP"
"441746","CLARKSVILLE",-78.5703,36.6197,94,"COOP"
"441825","CLINTWOOD 1",-82.4911,37.1453,543,"COOP"
"441986","COOTES STORE",-78.8531,38.6369,326,"COOP"
"441999","COPPER HILL",-80.1422,37.0864,820,"COOP"
"442009","CORBIN",-77.3747,38.2022,67,"COOP"
"442044","COVINGTON FI",-79.9883,37.8106,375,"COOP"
"442142","CROZIER",-77.8769,37.6664,60,"COOP"
"442208","DALE ENTERPR",-78.9353,38.4553,427,"COOP"
"442400","DISPUTANTA",-77.2017,37.1122,5,"COOP"
"442635","EASTVILLE",-75.9744,37.3875,3,"COOP"
"442663","EDINBURG",-78.5650,38.8233,256,"COOP"
"442790","EMPORIA 1 WN",-77.5597,36.6983,30,"COOP"
"442941","FARMVILLE 2",-78.3864,37.3264,137,"COOP"
"443204","FREDERICKSBU",-77.4511,38.2872,5,"COOP"
"443213","FREE UNION",-78.5872,38.0953,174,"COOP"
"443267","GALAX RADIO",-80.9139,36.6633,727,"COOP"
"443272","GALAX WATER",-80.9183,36.6542,719,"COOP"
"443310","GATHRIGHT DA",-79.9542,37.9458,539,"COOP"
"443565","GREENBAY 3 N",-78.2786,37.1756,152,"COOP"
"443640","GRUNDY",-82.0894,37.2822,357,"COOP"
"444044","HOLLAND 1 E",-76.7683,36.6831,24,"COOP"
"444128","HOT SPRINGS",-79.8317,37.9969,682,"COOP"
"444414","JOHN H KERR",-78.3011,36.6003,76,"COOP"
"444777","LEBANON",-82.0383,36.9028,583,"COOP"
"444876","LEXINGTON",-79.4136,37.7950,343,"COOP"
"444909","LINCOLN",-77.6928,39.0878,152,"COOP"
"445204","MANASSAS",-77.4925,38.7339,75,"COOP"
"445300","MARTINSVILLE",-79.8650,36.7056,232,"COOP"
"445595","MILLGAP 2 NN",-79.7264,38.3569,768,"COOP"
"445851","MOUNT WEATHE",-77.8892,39.0625,524,"COOP"
"446125","NORA 4 SSE",-82.3214,37.0156,808,"COOP"
"446491","PALMYRA 3S",-78.2644,37.8142,125,"COOP"
"446656","PETERSBURG",-77.3925,37.2389,21,"COOP"
"446692","PHILPOTT DAM",-80.0272,36.7764,342,"COOP"
"446712","PIEDMONT RES",-78.1208,38.2317,158,"COOP"
"446955","PULASKI",-80.7842,37.0556,564,"COOP"
"446999","RADFORD 3 N",-80.5864,37.2008,549,"COOP"
"447174","RICHLANDS",-81.7936,37.0947,582,"COOP"
"447338","ROCKY MOUNT",-79.8961,36.9769,305,"COOP"
"447541","SANDSTON",-77.2758,37.5442,30,"COOP"
"447904","SOMERSET",-78.2703,38.2456,155,"COOP"
"447925","SOUTH BOSTON",-78.8808,36.6956,104,"COOP"
"447985","SPERRYVILLE",-78.2272,38.6553,229,"COOP"
"448022","STAFFORDSVIL",-80.7131,37.2714,594,"COOP"
"448062","STAUNTON SEW",-79.0903,38.1814,500,"COOP"
"448084","STERLING RCS",-77.4767,38.9761,85,"COOP"
"448170","STUART",-80.2514,36.6364,419,"COOP"
"448600","TYE RIVER 1",-78.9344,37.6383,219,"COOP"
"448737","VIENNA",-77.2664,38.9000,127,"COOP"
"448888","WARRENTON 3",-77.7683,38.6817,152,"COOP"
"448941","WAYNESBORO S",-78.8750,38.0803,390,"COOP"
"449181","WINCHESTER",-78.1514,39.1881,219,"COOP"
"449263","WOODSTOCK 2",-78.4750,38.9022,207,"COOP"
"449301","WYTHEVILLE 1",-81.0942,36.9317,640,"COOP"
"450008","ABERDEEN",-123.8292,46.9658,3,"COOP"
"450176","ANACORTES",-122.6136,48.5119,6,"COOP"
"450257","ARLINGTON",-122.1281,48.2006,30,"COOP"
"450482","BATTLE GROUN",-122.5292,45.7794,87,"COOP"
"450668","BICKLETON",-120.3006,45.9981,919,"COOP"
"450729","BLAINE",-122.7531,49.0006,18,"COOP"
"450844","BOUNDARY DAM",-117.3594,48.9908,549,"COOP"
"450872","BREMERTON",-122.6828,47.5689,34,"COOP"
"451160","CARSON FISH",-121.9733,45.8678,346,"COOP"
"451233","CEDAR LAKE",-121.7561,47.4144,475,"COOP"
"451276","CENTRALIA",-122.9528,46.7200,56,"COOP"
"451350","CHELAN",-120.0431,47.8322,341,"COOP"
"451504","CLE ELUM",-120.9469,47.1856,585,"COOP"
"451679","CONCRETE PPL",-121.7431,48.5389,59,"COOP"
"451992","DARRINGTON R",-121.6036,48.2600,168,"COOP"
"452007","DAVENPORT",-118.1456,47.6503,744,"COOP"
"452030","DAYTON 1 WSW",-118.0008,46.3156,475,"COOP"
"452157","DIABLO DAM",-121.1431,48.7142,272,"COOP"
"452548","ELWHA R S",-123.5906,48.0164,110,"COOP"
"452563","ENTIAT FISH",-120.3278,47.6947,293,"COOP"
"452675","EVERETT",-122.1950,47.9753,51,"COOP"
"453222","GOLDENDALE",-120.8225,45.8214,505,"COOP"
"453529","HARTLINE",-119.1111,47.6856,582,"COOP"
"453730","HOLDEN VILLA",-120.7792,48.1950,981,"COOP"
"453826","HUMPTULIPS S",-123.9897,47.2344,43,"COOP"
"454154","KENNEWICK",-119.1011,46.2111,119,"COOP"
"454486","LANDSBURG",-121.9614,47.3767,163,"COOP"
"454572","LEAVENWORTH",-120.6800,47.5547,344,"COOP"
"454748","LONG BEACH E",-124.0378,46.3675,8,"COOP"
"454764","LONGMIRE RAI",-121.8119,46.7492,842,"COOP"
"454769","LONGVIEW",-122.9164,46.1506,53,"COOP"
"455086","MATLOCK 8 S",-123.4006,47.1456,122,"COOP"
"455110","MAYFIELD POW",-122.5939,46.5044,85,"COOP"
"455688","MOXEE CITY 1",-120.1661,46.5053,472,"COOP"
"455704","MUD MOUNTAIN",-121.9333,47.1500,399,"COOP"
"455774","NASELLE 2 EN",-123.7531,46.3725,15,"COOP"
"455840","NEWHALEM",-121.2419,48.6758,160,"COOP"
"455946","NORTHPORT",-117.7936,48.9081,411,"COOP"
"456295","PALMER 3 ESE",-121.8514,47.3058,280,"COOP"
"456610","POMEROY",-117.5894,46.4686,579,"COOP"
"456768","PROSSER",-119.7572,46.2017,253,"COOP"
"456789","PULLMAN 2 NW",-117.1911,46.7564,776,"COOP"
"456880","QUINCY 1 S",-119.8528,47.2114,388,"COOP"
"456898","RAINIER PARA",-121.7425,46.7858,1654,"COOP"
"456914","RAYMOND 2 S",-123.7300,46.6533,9,"COOP"
"457015","RICHLAND",-119.2633,46.3119,114,"COOP"
"457059","RITZVILLE 1",-118.3772,47.1139,576,"COOP"
"457180","ROSALIA",-117.3678,47.2286,732,"COOP"
"457185","ROSS DAM",-121.0722,48.7272,377,"COOP"
"457247","SAGEMOOR",-119.0711,46.3953,181,"COOP"
"457657","SILVERTON",-121.5667,48.0667,450,"COOP"
"457696","SKAMANIA FIS",-122.2175,45.6228,134,"COOP"
"457794","SNOWDEN",-121.3531,45.8175,736,"COOP"
"457941","SPOKANE WFO",-117.6267,47.6808,728,"COOP"
"458034","STARTUP 1 E",-121.7175,47.8664,52,"COOP"
"458059","STEHEKIN 4 N",-120.7317,48.3472,387,"COOP"
"458508","TOLT SOUTH F",-121.6908,47.7000,610,"COOP"
"458715","UPPER BAKER",-121.6931,48.6525,210,"COOP"
"458773","VANCOUVER 4",-122.6519,45.6778,64,"COOP"
"459012","WATERVILLE",-120.0747,47.6439,799,"COOP"
"459021","WAUNA 3 W",-122.7028,47.3725,5,"COOP"
"459074","WENATCHEE",-120.3150,47.4247,195,"COOP"
"459200","WHITMAN MISS",-118.4628,46.0436,193,"COOP"
"459238","WILBUR",-118.6822,47.7528,680,"COOP"
"460102","ALDERSON",-80.6592,37.7272,469,"COOP"
"460509","BARTOW 1 S",-79.7889,38.5486,922,"COOP"
"460527","BAYARD",-79.3644,39.2736,724,"COOP"
"460580","BECKLEY VA H",-81.1944,37.7653,710,"COOP"
"460925","BLUEFIELD",-81.2092,37.2617,863,"COOP"
"461215","BUCKEYE",-80.1333,38.1833,655,"COOP"
"461220","BUCKHANNON",-80.2206,38.9800,443,"COOP"
"461290","BURTON",-80.4064,39.6464,378,"COOP"
"461324","CACAPON STAT",-78.3158,39.5064,290,"COOP"
"461397","CANAAN VALLE",-79.4500,39.0500,988,"COOP"
"461579","CHARLESTON W",-81.7186,38.3139,280,"COOP"
"461677","CLARKSBURG 1",-80.3528,39.2692,302,"COOP"
"461900","COOPERS ROCK",-79.7719,39.6772,695,"COOP"
"462211","DAVIS 3 SE",-79.4319,39.0983,1163,"COOP"
"462522","DUNLOW 1 SW",-82.4044,37.9494,366,"COOP"
"462717","ELKINS 1 N",-79.8311,38.9272,628,"COOP"
"462920","FAIRMONT",-80.1333,39.4667,396,"COOP"
"463251","FROST 3 NE",-79.8186,38.2894,890,"COOP"
"463361","GASSAWAY",-80.7678,38.6650,256,"COOP"
"463464","GLADY 1 N",-79.7172,38.8072,866,"COOP"
"463544","GLENVILLE",-80.8325,38.9339,216,"COOP"
"463798","HACKER VALLE",-80.3836,38.6189,485,"COOP"
"463846","HAMLIN",-82.1114,38.2794,207,"COOP"
"463940","HARRISVILLE",-81.0486,39.2189,255,"COOP"
"464200","HOGSETT R C",-82.1861,38.6831,174,"COOP"
"464397","HUNTINGTON S",-82.5100,38.4183,158,"COOP"
"464840","KEYSER 2 SSW",-79.0050,39.4206,274,"COOP"
"465002","LAKE LYNN",-79.8561,39.7200,274,"COOP"
"465224","LEWISBURG 3",-80.4025,37.8564,702,"COOP"
"465353","LOGAN",-81.9961,37.8611,195,"COOP"
"465365","LONDON LOCKS",-81.3706,38.1947,189,"COOP"
"465626","MANNINGTON 8",-80.4647,39.5436,335,"COOP"
"465672","MARLINTON",-80.0914,38.2175,655,"COOP"
"465706","MARTINSBURG",-77.9669,39.4658,165,"COOP"
"465875","MC ROSS 3 E",-80.6803,37.9900,975,"COOP"
"465963","MIDDLEBOURNE",-80.8628,39.4731,238,"COOP"
"466248","MOUNDSVILLE",-80.7439,39.9050,189,"COOP"
"466284","MOUNT NEBO 1",-80.8489,38.1889,594,"COOP"
"466325","MULLENS",-81.3819,37.5839,430,"COOP"
"466442","NEW CUMBERLA",-80.6275,40.5261,206,"COOP"
"466600","OCEANA 2 SE",-81.6250,37.6817,378,"COOP"
"466912","PEA RIDGE PS",-82.2986,38.4197,175,"COOP"
"467018","PIKE ISLAND",-80.7014,40.1478,195,"COOP"
"467372","R D BAILEY L",-81.8208,37.5947,427,"COOP"
"467552","RIPLEY",-81.7119,38.8172,180,"COOP"
"467649","ROCK CAVE 2",-80.3147,38.8572,532,"COOP"
"467743","ROSEDALE 3 N",-80.9636,38.7778,229,"COOP"
"467785","ROWLESBURG 1",-79.6833,39.3333,434,"COOP"
"467852","SAINT ALBANS",-81.8342,38.3831,197,"COOP"
"467918","SANDYVILLE 9",-81.5661,38.9819,195,"COOP"
"468308","SNOWSHOE",-79.9972,38.4122,1452,"COOP"
"468384","SPENCER",-81.3619,38.8008,287,"COOP"
"468522","STONEWALL JA",-80.4744,39.0044,326,"COOP"
"468614","SUMMERSVILLE",-80.8939,38.2206,536,"COOP"
"468662","SUTTON LAKE",-80.6961,38.6558,255,"COOP"
"468777","TERRA ALTA N",-79.5469,39.4467,802,"COOP"
"468986","TYGART DAM",-80.0300,39.3139,366,"COOP"
"469049","UPPER TRACT",-79.2833,38.7833,469,"COOP"
"469458","WEST UNION 2",-80.7694,39.2911,241,"COOP"
"469522","WHITE SULPHU",-80.3083,37.7889,585,"COOP"
"469610","WILLIAMSON",-82.2761,37.6731,232,"COOP"
"469683","WINFIELD LOC",-81.9161,38.5272,186,"COOP"
"470045","AFTON",-89.0644,42.6475,226,"COOP"
"470175","AMERY",-92.3631,45.3011,326,"COOP"
"470265","APPLETON",-88.3644,44.2511,229,"COOP"
"470273","ARBORETUM UN",-89.4286,43.0411,264,"COOP"
"470308","ARLINGTON UN",-89.3269,43.3008,329,"COOP"
"470382","AUGUSTA RS",-91.1358,44.6825,293,"COOP"
"470486","BALDWIN",-92.3906,44.9633,335,"COOP"
"470516","BARABOO",-89.7269,43.4583,251,"COOP"
"470645","BEAVER DAM",-88.8478,43.4447,256,"COOP"
"470652","BELGIUM WWTP",-87.8547,43.5136,211,"COOP"
"470696","BELOIT",-89.0311,42.5039,238,"COOP"
"470742","BERLIN WWTP",-88.9411,43.9900,233,"COOP"
"470773","BIG FALLS HY",-90.9589,45.5556,372,"COOP"
"470904","BLOOMER",-91.4886,45.0956,299,"COOP"
"471062","BROOKFIELD",-88.1775,43.0517,251,"COOP"
"471064","BRILLION",-88.0803,44.1617,247,"COOP"
"471078","BRODHEAD",-89.3861,42.6181,241,"COOP"
"471131","BRULE R S",-91.5919,46.5378,305,"COOP"
"471205","BURLINGTON",-88.2544,42.6506,229,"COOP"
"471249","BUTTERNUT 3",-90.5217,46.0544,475,"COOP"
"471416","CHARMANY FAR",-89.4781,43.0603,330,"COOP"
"471568","CHILTON",-88.1469,44.0328,256,"COOP"
"471604","CLAM LAKE 4W",-90.9808,46.1694,457,"COOP"
"471605","CITY OF SHEB",-87.7089,43.7186,185,"COOP"
"471667","CLINTON",-88.8753,42.5492,293,"COOP"
"471676","CLINTONVILLE",-88.7483,44.6225,244,"COOP"
"471840","COTTAGE GROV",-89.1911,43.0769,264,"COOP"
"471923","CUMBERLAND",-92.0167,45.5333,378,"COOP"
"472001","DARLINGTON",-90.1183,42.6708,293,"COOP"
"472055","DENMARK WWTP",-87.8119,44.3514,250,"COOP"
"472173","DODGEVILLE",-90.1161,42.9608,338,"COOP"
"472279","DURAND",-91.9894,44.6214,232,"COOP"
"472314","EAGLE RIVER",-89.2531,45.9089,501,"COOP"
"472425","EAU CLAIRE 3",-91.5164,44.7878,268,"COOP"
"472556","ELLSWORTH 1",-92.4586,44.7303,314,"COOP"
"472626","EPHRAIM 1NE-",-87.1536,45.1708,223,"COOP"
"472826","FLORENCE",-88.2569,45.9250,398,"COOP"
"472839","FOND DU LAC",-88.4506,43.7961,232,"COOP"
"472842","FOND DU LAC",-88.4669,43.7667,242,"COOP"
"472851","FORESTVILLE",-87.3972,44.7006,212,"COOP"
"472869","FORT ATKINSO",-88.8589,42.9050,244,"COOP"
"472973","FRIENDSHIP 3",-89.7628,43.9661,303,"COOP"
"473022","GAYS MILLS",-90.8453,43.3167,216,"COOP"
"473058","GERMANTOWN",-88.1222,43.2389,259,"COOP"
"473186","GORDON",-91.8047,46.2450,317,"COOP"
"473198","GRAFTON WWTP",-87.9553,43.3081,226,"COOP"
"473271","GREEN BAY BO",-88.0978,44.5331,212,"COOP"
"473332","GURNEY",-90.5108,46.4739,296,"COOP"
"473391","HALES CORNER",-88.0300,42.9369,219,"COOP"
"473405","HANCOCK EXP",-89.5333,44.1114,328,"COOP"
"473453","HARTFORD 2 W",-88.4114,43.3311,299,"COOP"
"473511","HAYWARD RANG",-91.4878,46.0075,366,"COOP"
"473661","HINGHAM",-87.9050,43.6408,237,"COOP"
"473698","HOLCOMBE",-91.1353,45.2294,312,"COOP"
"473702","HOLY HILL 2",-88.2889,43.2422,294,"COOP"
"473756","HORICON",-88.6325,43.4406,268,"COOP"
"473800","HURLEY",-90.1933,46.4619,442,"COOP"
"473820","HUSTISFORD W",-88.6006,43.3400,263,"COOP"
"473930","JACKSON",-88.1681,43.3194,275,"COOP"
"474027","JIM FALLS 3",-91.3333,45.0667,323,"COOP"
"474108","JEFFERSON WW",-88.8042,42.9944,240,"COOP"
"474195","KEWAUNEE",-87.5050,44.4628,179,"COOP"
"474391","LADYSMITH",-91.0833,45.4667,354,"COOP"
"474424","LA VALLE 4 N",-90.1075,43.6389,347,"COOP"
"474482","LAKE MILLS",-88.8967,43.0803,249,"COOP"
"474530","LAKEWOOD SAN",-88.5181,45.3103,383,"COOP"
"474546","LANCASTER 4",-90.7889,42.8278,317,"COOP"
"474582","LAONA 6 SW",-88.7594,45.5125,516,"COOP"
"474790","LODI",-89.5311,43.3217,251,"COOP"
"474953","MADELINE ISL",-90.7667,46.7833,201,"COOP"
"475091","MARINETTE",-87.6292,45.0908,186,"COOP"
"475096","MARKESAN",-88.9989,43.7028,262,"COOP"
"475120","MARSHFIELD E",-90.1314,44.6322,381,"COOP"
"475164","MATHER 3 NW",-90.3483,44.1747,298,"COOP"
"475178","MAUSTON 1 SE",-90.0597,43.7900,264,"COOP"
"475189","MAZOMANIE",-89.8192,43.1708,232,"COOP"
"475255","MEDFORD",-90.3439,45.1308,448,"COOP"
"475335","MENOMONIE",-91.9364,44.8742,238,"COOP"
"475352","MERCER RANGE",-90.0722,46.1683,488,"COOP"
"475364","MERRILL",-89.6614,45.1706,382,"COOP"
"475474","MILWAUKEE MT",-88.0294,43.0719,221,"COOP"
"475499","MILWAUKEE-TI",-88.0306,43.1086,224,"COOP"
"475516","MINOCQUA DAM",-89.7281,45.8753,482,"COOP"
"475573","MONROE 1 W",-89.6681,42.5994,302,"COOP"
"475581","MONTELLO",-89.3169,43.7806,240,"COOP"
"475808","NEILLSVILLE",-90.6381,44.5289,315,"COOP"
"475932","NEW LONDON",-88.7172,44.3506,245,"COOP"
"476200","OCONOMOWOC",-88.5036,43.1003,261,"COOP"
"476208","OCONTO 4 W",-87.9539,44.8836,201,"COOP"
"476330","OSHKOSH",-88.5556,44.0117,229,"COOP"
"476357","OWEN 3W",-90.5975,44.9589,379,"COOP"
"476380","PADDOCK LAKE",-88.0903,42.5806,242,"COOP"
"476398","PARK FALLS D",-90.4506,45.9336,465,"COOP"
"476413","PATTISON STA",-92.1186,46.5372,335,"COOP"
"476510","PESHTIGO",-87.7342,45.0203,183,"COOP"
"476678","PLYMOUTH",-87.9714,43.7300,254,"COOP"
"476718","PORTAGE",-89.4342,43.5278,236,"COOP"
"476827","PRAIRIE DU C",-91.1350,43.0514,201,"COOP"
"476922","RACINE",-87.7861,42.7022,181,"COOP"
"477052","REEDSBURG",-89.9981,43.5228,282,"COOP"
"477113","RHINELANDER",-89.4228,45.6217,482,"COOP"
"477115","RHINELANDER",-89.3050,45.6456,483,"COOP"
"477132","RICE LAKE",-91.7719,45.4164,336,"COOP"
"477142","RICE RESRVR",-89.7300,45.5300,445,"COOP"
"477148","RICHFIELD 3",-88.2092,43.2111,300,"COOP"
"477158","RICHLAND CEN",-90.3778,43.3169,220,"COOP"
"477174","RIDGELAND 1",-91.8908,45.2236,334,"COOP"
"477226","RIVER FALLS",-92.6203,44.8578,279,"COOP"
"477349","ROSHOLT 9 NN",-89.2414,44.7431,354,"COOP"
"477464","ST CROIX FAL",-92.6464,45.4117,235,"COOP"
"477576","SAUK CITY WW",-89.7350,43.2619,227,"COOP"
"477581","SAUKVILLE WW",-87.9403,43.3750,230,"COOP"
"477708","SHAWANO 2 SS",-88.6181,44.7642,247,"COOP"
"477796","SLINGER WWTP",-88.2978,43.3339,314,"COOP"
"477892","SOLON SPRING",-91.8167,46.3500,329,"COOP"
"477964","SOUTH MILWAU",-87.8494,42.9011,198,"COOP"
"477997","SPARTA",-90.8164,43.9364,238,"COOP"
"478027","SPOONER EXPE",-91.8761,45.8236,335,"COOP"
"478110","STANLEY",-90.9389,44.9686,332,"COOP"
"478164","STEUBEN 4 SE",-90.8372,43.1342,309,"COOP"
"478171","STEVENS POIN",-89.5856,44.5103,329,"COOP"
"478190","STOCKBRIDGE-",-88.9050,44.8706,321,"COOP"
"478229","STOUGHTON",-89.2133,42.9108,256,"COOP"
"478267","STURGEON BAY",-87.3353,44.8722,200,"COOP"
"478376","SURING",-88.3769,44.9878,262,"COOP"
"478540","TOWN OF WEST",-88.8825,43.4719,268,"COOP"
"478672","TWO RIVERS",-87.5675,44.1361,176,"COOP"
"478723","UNION GROVE",-88.0336,42.6903,223,"COOP"
"478750","UPSON",-90.4122,46.3678,456,"COOP"
"478827","VIROQUA 2 S",-90.8733,43.5350,354,"COOP"
"478905","WASHINGTON I",-86.9106,45.3858,218,"COOP"
"478910","WATERLOO",-88.9842,43.1875,245,"COOP"
"478919","WATERTOWN",-88.7364,43.1742,251,"COOP"
"478937","WAUKESHA",-88.2492,43.0064,253,"COOP"
"478951","WAUPACA",-89.0592,44.3547,265,"COOP"
"479052","WEST BEND PU",-88.1939,43.4106,299,"COOP"
"479190","WHITEWATER",-88.7247,42.8508,267,"COOP"
"479236","WILLOW RESER",-89.8528,45.7089,469,"COOP"
"479304","WINTER",-91.0139,45.8231,426,"COOP"
"479319","WISCONSIN DE",-89.7667,43.6089,255,"COOP"
"480027","AFTON",-110.9342,42.7314,1893,"COOP"
"480432","ATLANTIC CIT",-108.7333,42.5000,2342,"COOP"
"480540","BASIN",-108.0314,44.3789,1170,"COOP"
"480552","BATES CREEK",-106.3786,42.6336,1832,"COOP"
"480603","BEDFORD 3 SE",-110.9075,42.8733,1958,"COOP"
"480680","BIG HORN",-106.9961,44.6808,1234,"COOP"
